CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST1015,Male,0,No,Yes,44,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,51.32,2303.65,No
CUST1016,Male,0,No,No,25,Yes,No,DSL,No internet service,Yes,No internet service,Yes,Yes,No internet service,Month-to-month,Yes,Mailed check,55.45,1341.1,Yes
CUST1017,Female,0,Yes,No,70,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,51.48,3612.16,No
CUST1018,Male,0,No,No,23,Yes,No,Fiber optic,No,No internet service,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),22.37,521.56,No
CUST1019,Male,0,Yes,Yes,10,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),53.58,544.86,No
CUST1020,Female,0,No,No,10,No,No,DSL,No internet service,No,No,No,Yes,Yes,Two year,No,Mailed check,55.53,570.06,Yes
CUST1021,Male,0,Yes,No,33,No,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,Two year,Yes,Bank transfer (automatic),29.05,958.93,No
CUST1022,Male,1,Yes,Yes,18,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),108.33,1893.61,No
CUST1023,Female,0,No,No,67,Yes,Yes,Fiber optic,Yes,No,No internet service,No,No internet service,No,Two year,No,Credit card (automatic),42.88,2826.85,No
CUST1024,Female,0,Yes,No,27,No,No,Fiber optic,No,Yes,No internet service,No,No internet service,No,Month-to-month,Yes,Bank transfer (automatic),110.49,2947.34,Yes
CUST1025,Male,0,Yes,No,35,Yes,No,Fiber optic,Yes,No internet service,Yes,No,Yes,No internet service,Month-to-month,Yes,Mailed check,92.67,3304.24,No
CUST1026,Female,0,No,No,62,Yes,No,DSL,No,No,Yes,No,Yes,No,One year,Yes,Bank transfer (automatic),71.46,4486.27,Yes
CUST1027,Female,0,No,No,18,Yes,No,No,No,No,No,No,No,No,Two year,No,Credit card (automatic),23.49,422.61,No
CUST1028,Male,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,Yes,No internet service,Yes,No,Month-to-month,No,Mailed check,86.79,605.91,No
CUST1029,Male,0,Yes,Yes,71,Yes,No,Fiber optic,No,No,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Electronic check,120.0,8145.25,Yes
CUST1030,Male,0,No,Yes,10,Yes,Yes,DSL,No,No,Yes,No,No internet service,No internet service,Two year,No,Credit card (automatic),45.44,463.02,Yes
CUST1031,Female,0,Yes,No,27,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),78.26,2177.28,Yes
CUST1032,Female,0,No,Yes,68,Yes,No,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,Yes,Electronic check,55.25,3902.98,Yes
CUST1033,Male,0,Yes,No,67,Yes,Yes,DSL,No,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),18.0,1148.16,No
CUST1034,Female,0,Yes,No,55,Yes,No phone service,Fiber optic,No internet service,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,66.82,3812.85,Yes
CUST1035,Female,0,No,No,48,Yes,No,DSL,No internet service,No,No internet service,Yes,Yes,No internet service,One year,Yes,Mailed check,57.58,2867.77,No
CUST1036,Male,0,No,No,67,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,26.25,1787.44,No
CUST1037,Female,0,No,Yes,26,Yes,No,DSL,No,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,93.96,2388.86,No
CUST1038,Female,0,Yes,Yes,40,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,41.03,1705.61,Yes
CUST1039,Female,0,No,No,71,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,46.8,3272.13,No
CUST1040,Female,0,No,No,46,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No internet service,Month-to-month,Yes,Credit card (automatic),83.58,3875.84,No
CUST1041,Male,0,No,Yes,67,Yes,Yes,Fiber optic,No,No internet service,Yes,No,Yes,No internet service,Two year,Yes,Mailed check,29.81,1985.48,No
CUST1042,Male,0,No,Yes,11,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,87.9,1004.22,Yes
CUST1043,Female,0,No,No,51,Yes,Yes,DSL,No internet service,Yes,No,Yes,Yes,No,One year,Yes,Credit card (automatic),70.84,3525.43,No
CUST1044,Male,0,No,No,32,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,73.54,2313.54,No
CUST1045,Male,1,No,Yes,72,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,Month-to-month,No,Credit card (automatic),101.82,7263.53,No
CUST1046,Male,0,No,No,20,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,50.03,1036.1,No
CUST1047,Female,0,Yes,No,5,Yes,No,Fiber optic,No,No,No,No internet service,Yes,No,Month-to-month,No,Credit card (automatic),36.77,180.51,Yes
CUST1048,Male,0,Yes,No,41,Yes,No,DSL,Yes,No,No internet service,Yes,No internet service,No,Month-to-month,No,Mailed check,18.0,722.4,No
CUST1049,Male,0,No,Yes,13,Yes,No,Fiber optic,No,No,Yes,No internet service,Yes,Yes,Two year,No,Bank transfer (automatic),41.7,558.15,No
CUST1050,Female,0,Yes,No,3,Yes,No,Fiber optic,Yes,No,Yes,No,No internet service,Yes,Month-to-month,Yes,Electronic check,59.5,176.5,Yes
CUST1051,Male,0,Yes,Yes,15,Yes,Yes,DSL,No,No,No internet service,No,Yes,No,Two year,No,Credit card (automatic),48.12,733.7,No
CUST1052,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,Yes,No internet service,No,No,No,One year,Yes,Bank transfer (automatic),74.31,4317.66,Yes
CUST1053,Male,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,26.18,1094.85,Yes
CUST1054,Male,0,No,No,67,Yes,Yes,DSL,No,No internet service,No,No,Yes,Yes,One year,No,Electronic check,52.42,3499.62,No
CUST1055,Male,0,Yes,Yes,46,Yes,No phone service,DSL,No,No,Yes,No,No,Yes,One year,Yes,Mailed check,84.09,3863.1,Yes
CUST1056,Female,0,No,Yes,48,No,No,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,92.06,4449.05,No
CUST1057,Female,0,Yes,No,36,Yes,No,DSL,Yes,No internet service,No internet service,No internet service,No,No,One year,Yes,Electronic check,112.62,4223.98,No
CUST1058,Female,0,No,Yes,23,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,47.6,1147.42,Yes
CUST1059,Male,0,Yes,No,55,No,No,DSL,No,Yes,Yes,Yes,No internet service,Yes,Two year,Yes,Electronic check,27.44,1554.65,Yes
CUST1060,Female,1,No,No,55,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,90.81,4759.77,No
CUST1061,Male,0,Yes,No,54,No,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,67.93,3527.74,No
CUST1062,Male,0,No,No,65,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Electronic check,49.25,3078.86,No
CUST1063,Female,0,Yes,No,51,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),33.18,1697.53,No
CUST1064,Male,0,Yes,No,32,Yes,No,DSL,No,Yes,No internet service,No internet service,Yes,No,Month-to-month,Yes,Mailed check,34.53,1054.48,Yes
CUST1065,Female,0,No,No,20,Yes,No,DSL,No,No,No,No,No internet service,Yes,Month-to-month,Yes,Bank transfer (automatic),55.14,1104.09,Yes
CUST1066,Male,0,Yes,No,36,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),120.0,4428.79,No
CUST1067,Male,0,Yes,No,32,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Mailed check,65.71,2061.07,No
CUST1068,Female,0,Yes,No,57,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),91.3,5188.19,No
CUST1069,Male,1,Yes,No,29,No,No,DSL,No,No,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,35.03,974.89,Yes
CUST1070,Male,0,No,Yes,46,Yes,No,Fiber optic,No internet service,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),18.0,792.3,Yes
CUST1071,Male,0,Yes,No,35,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),85.01,2985.4,No
CUST1072,Male,0,Yes,No,52,Yes,No,Fiber optic,Yes,No,Yes,No internet service,Yes,No internet service,Month-to-month,No,Electronic check,34.43,1703.02,No
CUST1073,Female,0,Yes,No,15,Yes,No,No,No,No,No,No,No,No,One year,Yes,Mailed check,35.09,537.06,No
CUST1074,Female,1,Yes,No,51,Yes,No,Fiber optic,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),64.72,3182.53,No
CUST1075,Female,0,No,Yes,31,Yes,No,Fiber optic,Yes,Yes,No,No,No,No internet service,Month-to-month,No,Bank transfer (automatic),109.31,3522.22,Yes
CUST1076,Male,1,No,No,16,Yes,Yes,DSL,No internet service,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,92.36,1529.52,Yes
CUST1077,Male,0,Yes,No,36,Yes,No phone service,DSL,No,Yes,No,No internet service,Yes,No internet service,Month-to-month,Yes,Electronic check,44.41,1555.05,No
CUST1078,Female,0,No,No,39,Yes,No,Fiber optic,No,Yes,Yes,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),74.38,2823.96,Yes
CUST1079,Male,0,No,Yes,11,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,80.0,839.23,No
CUST1080,Male,0,Yes,No,20,Yes,Yes,Fiber optic,No,No internet service,No internet service,No,No internet service,Yes,Month-to-month,No,Mailed check,80.9,1696.24,No
CUST1081,Female,0,No,No,56,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),55.48,2968.71,No
CUST1082,Male,0,No,No,42,No,No,DSL,No,No,No,Yes,No internet service,No,Month-to-month,No,Electronic check,80.18,3360.7,No
CUST1083,Female,0,No,No,47,Yes,No,Fiber optic,Yes,Yes,No,Yes,No internet service,Yes,Two year,Yes,Electronic check,80.94,3937.03,No
CUST1084,Male,0,No,Yes,6,Yes,No,DSL,No internet service,No internet service,No,No,No,No,Month-to-month,Yes,Electronic check,77.27,447.87,Yes
CUST1085,Female,0,Yes,No,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,No,Month-to-month,No,Bank transfer (automatic),30.51,1096.8,No
CUST1086,Male,0,Yes,No,8,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,Yes,No,Month-to-month,No,Electronic check,65.32,505.25,Yes
CUST1087,Female,0,No,No,71,Yes,No,Fiber optic,No,No internet service,No,Yes,Yes,No internet service,Month-to-month,No,Mailed check,93.34,6497.66,No
CUST1088,Male,0,Yes,Yes,37,Yes,No,Fiber optic,Yes,Yes,No internet service,Yes,Yes,No,Two year,Yes,Credit card (automatic),18.0,649.72,No
CUST1089,Female,0,Yes,Yes,50,Yes,Yes,DSL,Yes,Yes,Yes,No,No internet service,No internet service,One year,Yes,Credit card (automatic),101.51,4845.61,No
CUST1090,Male,0,No,No,16,Yes,No phone service,DSL,No,No,No,No internet service,No internet service,No,Month-to-month,No,Electronic check,90.86,1398.94,No
CUST1091,Female,0,No,No,9,No,No,Fiber optic,No,No internet service,No,Yes,Yes,No,One year,No,Credit card (automatic),77.2,706.98,No
CUST1092,Female,0,Yes,No,60,No,No,Fiber optic,No internet service,Yes,No,Yes,No internet service,No,Month-to-month,Yes,Credit card (automatic),80.15,4609.95,No
CUST1093,Male,0,Yes,Yes,51,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),65.34,3490.82,No
CUST1094,Male,0,Yes,No,46,Yes,Yes,DSL,No,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),36.12,1621.79,No
CUST1095,Female,1,Yes,Yes,71,Yes,Yes,No,No,No,No,No,No,No,One year,No,Electronic check,57.64,3932.68,No
CUST1096,Male,0,No,Yes,12,Yes,No,Fiber optic,No,No internet service,No,No,Yes,No,Two year,No,Bank transfer (automatic),66.24,784.74,Yes
CUST1097,Female,1,No,No,64,Yes,No,Fiber optic,No,Yes,No,No internet service,Yes,Yes,One year,Yes,Mailed check,57.4,3591.34,No
CUST1098,Male,0,No,No,21,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,76.35,1535.76,No
CUST1099,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,No,One year,Yes,Electronic check,75.21,381.94,Yes
CUST1100,Male,0,No,No,6,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),65.92,406.5,Yes
CUST1101,Female,0,No,Yes,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),81.26,3320.21,No
CUST1102,Male,0,No,Yes,26,Yes,Yes,Fiber optic,Yes,No internet service,Yes,No,Yes,No,One year,Yes,Electronic check,84.5,2212.79,Yes
CUST1103,Male,0,No,No,54,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,33.29,1823.83,Yes
CUST1104,Male,1,No,No,3,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),100.13,314.91,No
CUST1105,Female,1,No,No,11,Yes,No,DSL,No,No internet service,No,Yes,No,No,One year,Yes,Bank transfer (automatic),46.12,515.45,Yes
CUST1106,Male,0,Yes,No,25,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),75.39,1846.83,No
CUST1107,Male,0,No,No,12,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,No,Two year,Yes,Mailed check,58.09,708.9,No
CUST1108,Female,0,No,Yes,65,Yes,No,DSL,No,Yes,Yes,No,Yes,No internet service,Month-to-month,Yes,Electronic check,65.55,4165.68,No
CUST1109,Male,1,No,Yes,4,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,No internet service,Two year,No,Mailed check,101.92,392.99,No
CUST1110,Female,0,No,No,52,Yes,No,Fiber optic,No internet service,No internet service,Yes,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,59.64,3176.16,No
CUST1111,Female,0,No,No,65,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),76.07,4936.58,No
CUST1112,Female,0,No,No,70,Yes,Yes,DSL,No,No,No,Yes,No,No internet service,Month-to-month,No,Electronic check,96.77,7079.99,No
CUST1113,Male,0,Yes,No,34,No,No,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),89.22,2900.68,Yes
CUST1114,Female,0,No,No,16,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),80.31,1282.32,No
CUST1115,Male,1,No,No,14,Yes,Yes,Fiber optic,No internet service,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),120.0,1638.16,No
CUST1116,Female,0,No,No,61,Yes,Yes,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Mailed check,67.66,4129.31,Yes
CUST1117,Male,1,Yes,No,53,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),95.94,4852.21,Yes
CUST1118,Male,1,No,Yes,58,Yes,No phone service,Fiber optic,Yes,No internet service,Yes,No,No internet service,No,One year,No,Mailed check,120.0,6640.16,No
CUST1119,Male,0,No,No,63,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,48.0,3034.93,No
CUST1120,Female,0,No,No,13,Yes,No,No,No,No,No,No,No,No,Two year,Yes,Electronic check,114.17,1462.42,No
CUST1121,Female,0,No,No,45,Yes,Yes,Fiber optic,No,Yes,Yes,No,No internet service,Yes,Month-to-month,No,Electronic check,80.18,3435.98,No
CUST1122,Male,1,No,No,55,Yes,Yes,DSL,No,No internet service,No,No,No internet service,No internet service,One year,Yes,Mailed check,116.99,6504.39,No
CUST1123,Female,0,No,Yes,33,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,One year,Yes,Electronic check,70.39,2309.85,No
CUST1124,Male,0,Yes,No,62,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No internet service,Two year,No,Electronic check,90.87,5902.67,Yes
CUST1125,Female,0,No,No,39,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,24.04,968.73,Yes
CUST1126,Female,0,No,No,13,Yes,No,DSL,Yes,Yes,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,30.26,402.43,No
CUST1127,Female,0,Yes,No,13,Yes,Yes,Fiber optic,No,No internet service,No,No,Yes,No,One year,Yes,Electronic check,84.16,1091.81,Yes
CUST1128,Male,0,Yes,No,16,No,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),85.26,1362.1,Yes
CUST1129,Male,0,No,No,54,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),41.77,2354.84,No
CUST1130,Female,0,Yes,No,30,Yes,No,DSL,No,No internet service,No,No,Yes,No,Month-to-month,No,Electronic check,86.83,2665.23,No
CUST1131,Male,0,Yes,Yes,39,Yes,Yes,No,No,No,No,No,No,No,Two year,Yes,Electronic check,77.58,2901.63,Yes
CUST1132,Male,0,No,No,64,Yes,No,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,82.41,5240.4,Yes
CUST1133,Female,0,No,No,70,Yes,No,No,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,97.19,6747.59,Yes
CUST1134,Female,0,Yes,No,12,Yes,No,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,25.35,292.41,No
CUST1135,Male,1,No,No,2,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No,Month-to-month,Yes,Credit card (automatic),90.0,186.22,Yes
CUST1136,Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No internet service,No,No,Two year,No,Mailed check,80.15,2587.17,Yes
CUST1137,Male,0,No,Yes,15,Yes,No phone service,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,43.71,647.37,Yes
CUST1138,Female,0,Yes,No,52,No,No,Fiber optic,Yes,No internet service,No,No,No,No internet service,Month-to-month,No,Mailed check,29.49,1607.04,No
CUST1139,Female,0,No,No,35,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,51.32,1828.9,No
CUST1140,Female,0,Yes,No,38,Yes,No,Fiber optic,No internet service,No,No internet service,No,No internet service,No internet service,Month-to-month,Yes,Electronic check,54.75,2144.13,Yes
CUST1141,Female,0,No,Yes,42,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Electronic check,52.28,2109.09,No
CUST1142,Female,0,No,No,7,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),69.75,490.2,Yes
CUST1143,Male,0,Yes,Yes,56,Yes,No,Fiber optic,Yes,No,Yes,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,99.81,5709.84,Yes
CUST1144,Male,0,Yes,No,5,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),76.26,393.24,Yes
CUST1145,Female,0,Yes,No,40,Yes,Yes,DSL,No,No internet service,No,No internet service,No,Yes,One year,Yes,Mailed check,34.42,1429.78,No
CUST1146,Male,0,No,Yes,61,Yes,No,Fiber optic,No,No,No internet service,Yes,No,No,One year,No,Mailed check,75.63,4424.22,No
CUST1147,Female,0,No,No,65,No,No,No,No,No,No,No,No,No,Two year,Yes,Bank transfer (automatic),54.75,3643.9,Yes
CUST1148,Female,0,No,No,66,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,Month-to-month,Yes,Electronic check,53.24,3372.64,No
CUST1149,Female,0,Yes,No,68,No,No,No,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),49.47,3331.72,Yes
CUST1150,Male,0,No,No,65,Yes,No phone service,DSL,No internet service,No internet service,No internet service,No,Yes,Yes,One year,Yes,Bank transfer (automatic),72.88,4711.71,No
CUST1151,Female,0,No,No,42,Yes,No,Fiber optic,No internet service,No,No,No,Yes,Yes,Month-to-month,No,Credit card (automatic),67.44,2772.05,No
CUST1152,Female,0,No,No,35,Yes,No,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Mailed check,46.97,1703.68,Yes
CUST1153,Female,0,Yes,Yes,66,Yes,Yes,DSL,No,No,No internet service,Yes,No,No internet service,One year,Yes,Electronic check,76.25,5075.96,No
CUST1154,Male,1,No,No,25,Yes,No,Fiber optic,No internet service,No internet service,No,No,No,No internet service,Two year,Yes,Electronic check,59.75,1440.05,No
CUST1155,Female,0,Yes,No,6,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,54.46,322.6,Yes
CUST1156,Female,0,Yes,Yes,8,Yes,Yes,DSL,No,No,No,No,No,Yes,Two year,Yes,Credit card (automatic),69.38,531.66,No
CUST1157,Male,0,Yes,Yes,35,Yes,No phone service,DSL,Yes,No,Yes,No internet service,No,Yes,Month-to-month,No,Electronic check,59.87,2094.31,No
CUST1158,Male,0,Yes,No,53,Yes,Yes,DSL,No internet service,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.93,2660.11,No
CUST1159,Female,0,Yes,No,19,Yes,Yes,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Two year,Yes,Electronic check,95.02,1773.21,Yes
CUST1160,Male,0,No,Yes,9,Yes,No,No,No,No,No,No,No,No,One year,No,Bank transfer (automatic),96.26,896.07,Yes
CUST1161,Male,0,Yes,No,33,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),48.64,1661.25,No
CUST1162,Male,0,No,Yes,8,Yes,No phone service,DSL,No internet service,Yes,No,No internet service,No,No internet service,One year,Yes,Credit card (automatic),75.22,612.55,No
CUST1163,Female,0,Yes,Yes,38,Yes,Yes,DSL,No internet service,No internet service,No,No,No,No,One year,No,Mailed check,54.13,2143.19,No
CUST1164,Male,0,No,No,32,Yes,Yes,No,No,No,No,No,No,No,One year,Yes,Credit card (automatic),56.4,1832.72,No
CUST1165,Male,0,Yes,No,23,Yes,No phone service,DSL,No,No,No,No,Yes,No,One year,Yes,Credit card (automatic),48.11,1119.7,No
CUST1166,Male,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,Yes,Month-to-month,No,Mailed check,33.46,1091.42,Yes
CUST1167,Female,0,Yes,No,46,Yes,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),65.32,2857.62,No
CUST1168,Female,0,Yes,Yes,32,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,No,Month-to-month,Yes,Mailed check,59.78,1857.46,No
CUST1169,Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),55.34,55.34,No
CUST1170,Female,0,Yes,No,7,Yes,Yes,DSL,No internet service,No,No,No internet service,Yes,No,One year,Yes,Mailed check,102.97,751.73,No
CUST1171,Female,0,No,No,24,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,75.45,1761.84,Yes
CUST1172,Male,0,No,No,2,Yes,No phone service,Fiber optic,Yes,No,No,No internet service,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.38,,No
CUST1173,Female,0,No,Yes,18,Yes,No,Fiber optic,No,No,No internet service,Yes,Yes,No,Month-to-month,No,Credit card (automatic),115.76,2153.6,No
CUST1174,Male,0,Yes,No,56,Yes,Yes,DSL,Yes,No internet service,No internet service,No,Yes,No,Month-to-month,No,Bank transfer (automatic),79.28,4386.2,No
CUST1175,Female,0,No,Yes,32,Yes,Yes,Fiber optic,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),120.0,4023.51,Yes
CUST1176,Male,0,No,No,70,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Credit card (automatic),54.82,4014.24,No
CUST1177,Female,1,Yes,Yes,10,No,No,DSL,No,No internet service,No internet service,Yes,No,No,Month-to-month,No,Mailed check,65.86,647.69,No
CUST1178,Female,0,Yes,Yes,40,Yes,Yes,No,No,No,No,No,No,No,Month-to-month,No,Mailed check,96.2,3871.03,Yes
CUST1179,Female,0,Yes,No,34,Yes,No,DSL,No,No,No,Yes,Yes,No,Two year,Yes,Electronic check,18.0,623.0,Yes
